title,slug,oldCategory,newSection,newFormat,reason,state
"Review: Ralph Hancock on BYU, Higher Education, and the ""Gospel Methodology""","review-ralph-hancock-on-byu-higher-education-and-the-gospel-methodology",news,faith,news,"news + faith keywords",PUBLISHED
"UPDATE: Stanford Halftime Show Features Skit, Mocks the Church","update-stanford-halftime-show-features-skit-mocks-the-church",news,faith,news,"news + faith keywords",PUBLISHED
"Marriott Annual Report Features Creating ""Black-focused Recruiting Platform"" BlackUp","marriott-annual-report-features-creating-black-focused-recruiting-platform-blackup",news,news,news,"default campus/news desk",PUBLISHED
"Of Boys and Men, With Richard Reeves","of-boys-and-men-with-richard-reeves",news,news,news,"default campus/news desk",PUBLISHED
"(Satire) BYU Office of Belonging Creates Inclusive Haunted Houses","satire-byu-office-of-belonging-creates-inclusive-haunted-houses",news,news,news,"default campus/news desk",PUBLISHED
"BYU Republicans and Democrats Gather for Debate","byu-republicans-and-democrats-gather-for-debate",news,news,news,"default campus/news desk",PUBLISHED
"Sen. Mike Lee and Evan McMullin Face Off in Only Debate of Unusual Senate Race","sen-mike-lee-and-evan-mcmullin-face-off-in-only-debate-of-unusual-senate-race",news,politics,news,"news + politics keywords",PUBLISHED
"General Conference Themes and Words of Encouragement","general-conference-themes-and-words-of-encouragement",news,faith,news,"news + faith keywords",PUBLISHED
"(Satire) People Identifying as Latinx Launch Accusations of Cultural Appropriation, Hispanics Blamed","satire-people-identifying-as-latinx-launch-accusations-of-cultural-appropriation-hispanics-blamed",news,news,news,"default campus/news desk",PUBLISHED
"Opinion: Critical Race Theory and Rachel Richardson's Storytelling","opinion-critical-race-theory-and-rachel-richardsons-storytelling",news,news,news,"default campus/news desk",PUBLISHED
"""F*** the Mormons"" Chanted at BYU v Oregon Football Game","f-the-mormons-chanted-at-byu-v-oregon-football-game",news,news,news,"default campus/news desk",PUBLISHED
"Exclusive: Racist Comments at BYU Volleyball Game Never Happened, Sources Suggest","exclusive-racist-comments-at-byu-volleyball-game-never-happened-sources-suggest",news,news,news,"default campus/news desk",PUBLISHED
"Begin The World Over Again","",opinion,politics,opinion,"opinion + politics/general",APPROVED
"Ignore the Outrage, Love America","ignore-outrage-be-grateful-for-america",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Angels in a Dark Forest: Can Peacemaking Really Save America?","angels-in-a-dark-forest-can-peacemaking-really-save-america",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Why American Exceptionalism Still Matters Today","why-american-exceptionalism-still-matters-today",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
